Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
18-24,Male,"East Asian (Chinese, Korean, Japanese)",Downtown / Business Bay / DIFC,"20,001-35,000",Mandarin / Other Asian language,Every 2 weeks,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Subscription boxes",Loyalty rewards / cashback,Somewhat loyal,Halal / clean / organic certification; Personalised products,11-25% more,Haircare; Fragrance / perfume / oud; Men's grooming,Essential,Very Important,Somewhat Important,Essential,Somewhat Important,Somewhat Important,Lightweight gel / water-based; Rich cream / butter-based,Ramadan / Eid al-Fitr,"Yes, occasionally (2-4 times/year)",Health and wellness,Subscription boxes,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Neutral,Neutral
55+,Female,"Western Expat (European, American, Australian)",Dubai Marina / JBR / JLT,"5,000-10,000",English,Rarely / Only when needed,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Widest product range,Neutral,Lower price / better value; Recommendation from a friend or influencer,0% - would not pay more,Face skincare; Haircare; Fragrance / perfume / oud,Not Important,Not Important,Essential,Essential,Essential,Very Important,Lightweight gel / water-based; Multi-use / hybrid products,Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, frequently (5+ times/year)",Religious compliance (halal),Friends / family,Slightly,Unsure,Bundle deal,Neutral,Not interested at all
45-54,Male,African,Other,"5,000-10,000",English,Rarely / Only when needed,50-100,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Widest product range,Low loyalty,Lower price / better value,Up to 10% more,Face skincare; Body care; Fragrance / perfume / oud; Personal hygiene,Somewhat Important,Essential,Somewhat Important,Not Important,Somewhat Important,Very Important,Multi-use / hybrid products,None - consistent spending,Rarely (once a year or less),Environmental sustainability; Social image and status,Instagram; In-store browsing,Very strongly,Unsure,Free shipping,Very likely,Neutral
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"10,001-20,000",Hindi / Urdu,Weekly,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Duty-free shops",Ability to test / try before buying,Low loyalty,Superior ingredients / formulation,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Lightweight gel / water-based; Multi-use / hybrid products,Diwali; None - consistent spending,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Scientific efficacy,In-store browsing; Google search / blogs; Friends / family,Moderately,No,Free sample / trial size,Likely,Neutral
18-24,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Mirdif / Al Warqa / Rashidiya,"10,001-20,000",Arabic,Monthly,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Loyalty rewards / cashback,Neutral,Lower price / better value; Availability in my preferred store,26-50% more,Face skincare; Oral care,Essential,Not Important,Somewhat Important,Essential,Not Important,Very Important,Serum / oil-based concentrate; Lightweight gel / water-based,Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Scientific efficacy,Instagram; YouTube; Friends / family,Very strongly,Unsure,"Percentage discount (e.g., 20% off)",Likely,Not very interested
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"35,001-50,000",English,Every 2 weeks,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Very loyal,Lower price / better value; Superior ingredients / formulation,11-25% more,Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Somewhat Important,Essential,Very Important,Somewhat Important,Somewhat Important,Essential,Lightweight gel / water-based,Diwali; Wedding season / family events; None - consistent spending,Rarely (once a year or less),Health and wellness,Instagram,Slightly,Probably,Free sample / trial size,Likely,Not very interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"20,001-35,000",Hindi / Urdu,Monthly,Below 50,"Duty-free shops; Online marketplaces (Amazon.ae, Noon); Hypermarkets (Carrefour, Lulu, Spinneys)",Ability to test / try before buying,Low loyalty,Halal / clean / organic certification,11-25% more,Haircare; Men's grooming; Personal hygiene,Very Important,Essential,Essential,Not Important,Very Important,Not Important,Lightweight gel / water-based; Rich cream / butter-based,Ramadan / Eid al-Fitr; Diwali,Never,Scientific efficacy; Health and wellness,In-store browsing,Very strongly,Unsure,Bundle deal,Very likely,Neutral
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,Prefer not to say,Hindi / Urdu,Monthly,201-400,"Duty-free shops; Online marketplaces (Amazon.ae, Noon); Pharmacies (BinSina, Aster, Life Pharmacy)",Trusted recommendations / expert staff,Somewhat loyal,Recommendation from a friend or influencer; Lower price / better value,More than 50% more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Lightweight gel / water-based,None - consistent spending,"Yes, occasionally (2-4 times/year)",Scientific efficacy; Health and wellness,Friends / family; Subscription boxes; Celebrity endorsements,Slightly,Unsure,Free shipping,Neutral,Neutral
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"10,001-20,000",English,Every 2-3 months,50-100,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Somewhat loyal,Halal / clean / organic certification; Lower price / better value,26-50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Oral care,Somewhat Important,Very Important,Essential,Somewhat Important,Essential,Very Important,Multi-use / hybrid products,Ramadan / Eid al-Fitr; Diwali,Never,Health and wellness; Environmental sustainability,Google search / blogs; In-store browsing; Friends / family,Moderately,Probably,Free shipping,Neutral,Very interested
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"5,000-10,000",English,Every 2-3 months,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Duty-free shops",Convenience / delivery speed,Neutral,Superior ingredients / formulation; Availability in my preferred store,Up to 10% more,Oral care,Somewhat Important,Not Important,Somewhat Important,Essential,Somewhat Important,Very Important,Lightweight gel / water-based; Rich cream / butter-based,Eid al-Adha; Diwali,Never,Health and wellness,TikTok; In-store browsing,Very strongly,Unsure,Free sample / trial size,Very likely,Neutral
35-44,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"10,001-20,000",English,Rarely / Only when needed,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Loyalty rewards / cashback,Neutral,Lower price / better value; Availability in my preferred store,Up to 10% more,Fragrance / perfume / oud,Somewhat Important,Somewhat Important,Very Important,Very Important,Essential,Somewhat Important,Rich cream / butter-based,Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Environmental sustainability,YouTube; In-store browsing,Slightly,Probably,Buy-one-get-one-free (BOGO),Neutral,Not interested at all
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"10,001-20,000",English,Monthly,101-200,"Duty-free shops; Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Widest product range,Somewhat loyal,Personalised products,11-25% more,Face skincare; Haircare; Men's grooming,Essential,Not Important,Not Important,Essential,Very Important,Very Important,Lightweight gel / water-based,None - consistent spending,Rarely (once a year or less),Religious compliance (halal),Instagram; TikTok; YouTube,Very strongly,Probably,Free sample / trial size,Very likely,Neutral
25-34,Female,African,Downtown / Business Bay / DIFC,"5,000-10,000",English,Every 2-3 months,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,No loyalty,Lower price / better value; Halal / clean / organic certification,More than 50% more,Face skincare; Body care; Haircare; Oral care; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Not Important,Lightweight gel / water-based; Sheet masks / single-use treatments,Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Rarely (once a year or less),Heritage and tradition; Scientific efficacy,Friends / family; Google search / blogs,Moderately,"Yes, definitely",Bundle deal,Likely,Interested
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"20,001-35,000",Hindi / Urdu,Every 2-3 months,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Duty-free shops",Convenience / delivery speed,Somewhat loyal,Recommendation from a friend or influencer,11-25% more,Face skincare; Body care; Haircare,Essential,Essential,Not Important,Very Important,Not Important,Very Important,Multi-use / hybrid products,Diwali; None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness,Instagram; Friends / family,Moderately,"Yes, definitely",Subscription discount,Very likely,Neutral
25-34,Female,"Western Expat (European, American, Australian)",Downtown / Business Bay / DIFC,"35,001-50,000",English,Every 2 weeks,201-400,Brand websites / D2C apps; Baqala / convenience stores,Loyalty rewards / cashback,No loyalty,Recommendation from a friend or influencer,Up to 10% more,Face skincare,Somewhat Important,Somewhat Important,Essential,Not Important,Very Important,Very Important,Multi-use / hybrid products,Dubai Shopping Festival (DSF / DSS); None - consistent spending,Rarely (once a year or less),Health and wellness,YouTube; Friends / family; In-store browsing,Moderately,Unsure,Buy-one-get-one-free (BOGO),Neutral,Interested
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Mirdif / Al Warqa / Rashidiya,"10,001-20,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Convenience / delivery speed,Low loyalty,Superior ingredients / formulation,Up to 10% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Oral care,Essential,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Lightweight gel / water-based,Eid al-Adha; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Health and wellness,Instagram; In-store browsing; Google search / blogs,Slightly,Unsure,Buy-one-get-one-free (BOGO),Very likely,Neutral
18-24,Male,African,Dubai Marina / JBR / JLT,"5,000-10,000",Arabic,Every 2-3 months,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops",Trusted recommendations / expert staff,Low loyalty,Attractive packaging / brand story,0% - would not pay more,Face skincare; Men's grooming,Essential,Not Important,Somewhat Important,Very Important,Very Important,Essential,Serum / oil-based concentrate; Multi-use / hybrid products,Ramadan / Eid al-Fitr,"Yes, frequently (5+ times/year)",Environmental sustainability; Scientific efficacy,Instagram; TikTok; Friends / family,Moderately,"Yes, definitely",Free sample / trial size,Likely,Interested
25-34,Male,"East Asian (Chinese, Korean, Japanese)",Al Barsha / Discovery Gardens / JVC,"Below 5,000",English,Rarely / Only when needed,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Somewhat loyal,Superior ingredients / formulation; Recommendation from a friend or influencer,0% - would not pay more,Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Somewhat Important,Essential,Essential,Very Important,Essential,Lightweight gel / water-based,Eid al-Adha; Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Social image and status,Instagram; TikTok; Celebrity endorsements,Slightly,Unsure,Loyalty points,Neutral,Very interested
35-44,Female,Filipino,Deira / Bur Dubai / Al Karama,"5,000-10,000",Tagalog / Filipino,Monthly,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops",Loyalty rewards / cashback,Very loyal,Lower price / better value; Halal / clean / organic certification,26-50% more,Body care; Haircare; Fragrance / perfume / oud; Oral care,Very Important,Not Important,Essential,Somewhat Important,Very Important,Very Important,Serum / oil-based concentrate,Christmas / New Year; Dubai Shopping Festival (DSF / DSS); None - consistent spending,"Yes, occasionally (2-4 times/year)",Scientific efficacy; Health and wellness,Google search / blogs; Instagram; YouTube,Not at all,"Yes, definitely",Subscription discount,Neutral,Interested
18-24,Male,Filipino,Jumeirah / Umm Suqeim,"5,000-10,000",Tagalog / Filipino,Every 2-3 months,101-200,"Beauty specialist stores (Sephora, Faces, MAC); Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Loyalty rewards / cashback,Somewhat loyal,Halal / clean / organic certification; Superior ingredients / formulation,Up to 10% more,Body care; Haircare; Fragrance / perfume / oud; Personal hygiene,Very Important,Very Important,Very Important,Very Important,Essential,Essential,Lightweight gel / water-based; Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Eid al-Adha; Christmas / New Year,"Yes, occasionally (2-4 times/year)",Social image and status,YouTube; Instagram; In-store browsing,Moderately,No,Free sample / trial size,Very likely,Neutral
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Al Barsha / Discovery Gardens / JVC,"20,001-35,000",Hindi / Urdu,Rarely / Only when needed,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Somewhat loyal,Lower price / better value,0% - would not pay more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Personal hygiene,Not Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Essential,Lightweight gel / water-based,Dubai Shopping Festival (DSF / DSS),"Yes, frequently (5+ times/year)",Heritage and tradition,Friends / family,Slightly,No,Free sample / trial size,Likely,Not very interested
18-24,Male,Other,Mirdif / Al Warqa / Rashidiya,"5,000-10,000",English,Weekly,50-100,"Subscription boxes; Hypermarkets (Carrefour, Lulu, Spinneys); Baqala / convenience stores",Widest product range,Very loyal,Attractive packaging / brand story; Halal / clean / organic certification,11-25% more,Face skincare; Haircare; Men's grooming,Somewhat Important,Somewhat Important,Somewhat Important,Not Important,Essential,Essential,Multi-use / hybrid products,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Heritage and tradition,Instagram,Very strongly,No,"Percentage discount (e.g., 20% off)",Likely,Not interested at all
18-24,Male,"East Asian (Chinese, Korean, Japanese)",Downtown / Business Bay / DIFC,"35,001-50,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Very loyal,Personalised products; Superior ingredients / formulation,0% - would not pay more,Fragrance / perfume / oud; Personal hygiene,Not Important,Very Important,Somewhat Important,Essential,Very Important,Not Important,Rich cream / butter-based,Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Environmental sustainability; Heritage and tradition,Friends / family,Moderately,Unsure,Free sample / trial size,Likely,Interested
55+,Male,"East Asian (Chinese, Korean, Japanese)",Mirdif / Al Warqa / Rashidiya,"20,001-35,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Best prices / discounts,Somewhat loyal,Lower price / better value; Recommendation from a friend or influencer,0% - would not pay more,Fragrance / perfume / oud,Somewhat Important,Not Important,Very Important,Not Important,Essential,Not Important,Spray / mist,Dubai Shopping Festival (DSF / DSS),Never,Heritage and tradition; Health and wellness,YouTube; Friends / family,Not at all,No,Loyalty points,Unlikely,Not very interested
55+,Male,Filipino,Deira / Bur Dubai / Al Karama,"Below 5,000",English,Weekly,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Baqala / convenience stores",Best prices / discounts,Somewhat loyal,Recommendation from a friend or influencer; Personalised products,0% - would not pay more,Face skincare,Somewhat Important,Somewhat Important,Not Important,Somewhat Important,Somewhat Important,Very Important,Multi-use / hybrid products,Eid al-Adha; None - consistent spending,Never,Social image and status; Health and wellness,Instagram; Friends / family; Google search / blogs,Not at all,Probably,Free sample / trial size,Very likely,Not very interested
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Silicon Oasis / Academic City / Sports City,"20,001-35,000",English,Monthly,201-400,"Pharmacies (BinSina, Aster, Life Pharmacy); Duty-free shops; Hypermarkets (Carrefour, Lulu, Spinneys)",Widest product range,No loyalty,Superior ingredients / formulation; Availability in my preferred store,0% - would not pay more,Face skincare; Body care; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Not Important,Very Important,Not Important,Somewhat Important,Somewhat Important,Very Important,Sheet masks / single-use treatments,Wedding season / family events,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Social image and status,In-store browsing; Google search / blogs,Slightly,Probably,Buy-one-get-one-free (BOGO),Neutral,Neutral
25-34,Male,"East Asian (Chinese, Korean, Japanese)",Jumeirah / Umm Suqeim,"20,001-35,000",Mandarin / Other Asian language,Weekly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys)",Convenience / delivery speed,Neutral,Recommendation from a friend or influencer; Halal / clean / organic certification,11-25% more,Haircare; Fragrance / perfume / oud; Oral care; Personal hygiene,Essential,Very Important,Somewhat Important,Essential,Somewhat Important,Essential,Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Eid al-Adha,Rarely (once a year or less),Health and wellness,Instagram; TikTok,Moderately,Probably,Free shipping,Very likely,Neutral
18-24,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"5,000-10,000",Hindi / Urdu,Rarely / Only when needed,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys)",Ability to test / try before buying,Somewhat loyal,Availability in my preferred store,11-25% more,Face skincare; Body care; Colour cosmetics / makeup,Somewhat Important,Essential,Not Important,Somewhat Important,Very Important,Very Important,Rich cream / butter-based,Ramadan / Eid al-Fitr; Christmas / New Year; Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Rarely (once a year or less),Social image and status,Instagram; YouTube; Celebrity endorsements,Moderately,Unsure,Free sample / trial size,Likely,Neutral
35-44,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Mirdif / Al Warqa / Rashidiya,"Above 50,000",English,Every 2-3 months,50-100,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Duty-free shops",Best prices / discounts,Low loyalty,Lower price / better value,11-25% more,Face skincare; Haircare,Very Important,Somewhat Important,Very Important,Essential,Not Important,Essential,Rich cream / butter-based; Multi-use / hybrid products,Dubai Shopping Festival (DSF / DSS); Wedding season / family events,Rarely (once a year or less),Heritage and tradition,Instagram; Google search / blogs,Not at all,No,Loyalty points,Likely,Interested
